Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
R13,R_0402_1005Metric,42.48mm,36.07mm,T,0,2k2
R13,R_0402_1005Metric,-0.05mm,36.08mm,T,0,2k2
R16,R_0402_1005Metric,37.82mm,25.08mm,T,180,100k
R16,R_0402_1005Metric,-4.71mm,25.08mm,T,180,100k
R17,R_0402_1005Metric,-6.49mm,68.51mm,T,-90,200k
R17,R_0402_1005Metric,36.05mm,68.51mm,T,-90,200k
R18,R_0402_1005Metric,36.99mm,68.51mm,T,-90,100k
R18,R_0402_1005Metric,-5.54mm,68.51mm,T,-90,100k
R19,R_0402_1005Metric,66.91mm,72.18mm,T,180,20k
R19,R_0402_1005Metric,24.37mm,72.18mm,T,180,20k
R20,R_0402_1005Metric,54.26mm,47.17mm,T,90,4k7
R20,R_0402_1005Metric,11.72mm,47.17mm,T,90,4k7
R21,R_0402_1005Metric,24.37mm,71.24mm,T,180,30k
R21,R_0402_1005Metric,66.91mm,71.24mm,T,180,30k
R22,R_0402_1005Metric,65.72mm,18.97mm,T,90,1k
R22,R_0402_1005Metric,23.18mm,18.97mm,T,90,1k
R23,R_0402_1005Metric,65.71mm,24.49mm,T,90,4k7
R23,R_0402_1005Metric,23.17mm,24.49mm,T,90,4k7
R30,R_0402_1005Metric,53.32mm,47.17mm,T,90,4k7
R30,R_0402_1005Metric,10.78mm,47.17mm,T,90,4k7
R31,R_0402_1005Metric,9.84mm,47.17mm,T,90,4k7
R31,R_0402_1005Metric,52.38mm,47.17mm,T,90,4k7
R32,R_0402_1005Metric,7.74mm,47.17mm,T,-90,2k2
R32,R_0402_1005Metric,50.28mm,47.17mm,T,-90,2k2
S1,EG1215AA,26.76mm,21.73mm,T,90,ALPSALPINE_SSSS811101
S1,EG1215AA,69.30mm,21.73mm,T,90,ALPSALPINE_SSSS811101
Y1,CX3225FB25000F0FZZH1,48.69mm,64.23mm,T,0,Y322525MNCCZ
Y1,CX3225FB25000F0FZZH1,6.15mm,64.23mm,T,0,Y322525MNCCZ
