feeder_id,type,type_code,nozzle,x,y,angle,package,footprint,value,pick_height,pick_delay,place_height,place_delay,vacuum_detection,threshold,vision_alignment,speed,x_offset,y_offset,rotation_offset,extra
59,stack,1,1,88.62,137.24,0.00,,QFN50P1000X1000X90-73N-D,LIFCL-17-7SG72C_ab_2,3.50,100,3.20,100,Yes,-40,1,30,0,0,0,1|1|150.00|100.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
60,stack,1,1,133.17,151.61,0.00,,SON127P600X500X80-9N-D,S25FS128SAGNFI100_1,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|110.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
61,stack,1,1,133.08,138.56,0.00,,SON127P600X500X80-9N-D,S25FS128SAGNFI100_2,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|120.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
62,stack,1,1,103.54,151.59,0.00,,QFN50P500X500X60-33N-D,STM32U083KCU6_1,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|130.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
63,stack,1,1,103.09,138.47,0.00,,QFN50P500X500X60-33N-D,STM32U083KCU6_2,3.50,100,3.20,100,Yes,-40,1,20,0,0,0,1|1|150.00|140.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
64,stack,1,1,118.40,150.54,90.00,,BGA24C100P5X5_600X800X100,IS66WVH16M8DALL-166B1LI_1,4.00,100,3.40,100,Yes,-40,1,20,0,0,0,1|1|150.00|150.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
65,stack,1,1,118.23,137.32,90.00,,BGA24C100P5X5_600X800X100,IS66WVH16M8DALL-166B1LI_2,4.00,100,3.40,100,Yes,-40,1,20,0,0,0,1|1|150.00|160.00|1|1|No|No|-65|-40|-40|-40|-1|-1|0|0
66,stack,1,1,186.80,155.83,0.00,,DF40HC3050DS04V51,DF40HC_3.0_-50DS-0.4V_51_1,3.00,100,2.80,100,Yes,-40,1,20,0,0,0,1|1|150.00|170.00|1|1|No|No|-65|-65|-65|-40|-1|-1|0|0
67,stack,1,1,186.84,148.03,0.00,,DF40HC3050DS04V51,DF40HC_3.0_-50DS-0.4V_51_2,3.40,100,2.80,100,Yes,-40,1,20,0,0,0,1|1|150.00|180.00|1|1|No|No|-65|-65|-40|-40|-1|-1|0|0
68,stack,1,2,156.71,155.43,0.00,,BK13C0640DS2035V895,BK13C06-40DS_2-0.35V_895_1,5.00,100,2.70,100,No,-40,1,30,0,0,0,1|1|150.00|190.00|1|1|No|No|-40|-65|-40|-40|-1|-1|0|0
69,stack,1,1,157.20,151.40,0.00,,BK13C0640DS2035V895,BK13C06-40DS_2-0.35V_895_2,5.00,100,2.70,100,No,-40,1,30,0,0,0,1|1|150.00|200.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
70,stack,1,3,133.11,150.55,0.00,,UFBGA-169_7x7mm_Layout13x13_P0.5mm,~1,5.10,100,2.90,100,No,-40,1,30,0,0,0,1|1|150.00|210.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
71,stack,1,1,150.00,220.00,0.00,,UFBGA-169_7x7mm_Layout13x13_P0.5mm,~2,5.10,100,2.90,100,No,-40,4,20,0,0,0,1|1|150.00|220.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
72,stack,1,3,118.04,150.54,0.00,,SON127P600X500X80-9N-D,S25FS128SAGNFI100A,4.60,100,2.80,100,No,-40,1,40,0,0,0,1|1|150.00|230.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
73,stack,1,3,118.07,137.38,0.00,,SON127P600X500X80-9N-D,S25FS128SAGNFI100B,4.60,100,2.80,100,No,-40,1,30,0,0,0,1|1|150.00|240.00|1|1|No|No|-40|-40|-40|-40|-1|-1|0|0
